image_path,label,dataset_source
data/processed\images\fer_train_angry_Training_11359731.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11393282.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11478843.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11533347.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11566408.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11571868.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11576563.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11579481.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11596465.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11666027.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11666709.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11713762.jpg,anger,FER
data/processed\images\fer_train_angry_Training_1173634.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11745938.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11749309.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11769417.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11769870.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11770015.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11808005.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11820572.jpg,anger,FER
data/processed\images\fer_train_angry_Training_1184435.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11860503.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11888118.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11917747.jpg,anger,FER
data/processed\images\fer_train_angry_Training_1193977.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11940623.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11947615.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11954904.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11983206.jpg,anger,FER
data/processed\images\fer_train_angry_Training_11990539.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12006812.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12017013.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12037449.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12045034.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12075336.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12091917.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12095508.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12095988.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12148960.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12155031.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12168970.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12172696.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12175445.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12216843.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12250673.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12295489.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12383687.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12391352.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12407292.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12409483.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12450586.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12469031.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12513174.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12524483.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12565431.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12604769.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12661221.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12675274.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12686673.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12695814.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12775696.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12776681.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12812647.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12837353.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12861782.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12890896.jpg,anger,FER
data/processed\images\fer_train_angry_Training_1294170.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12961021.jpg,anger,FER
data/processed\images\fer_train_angry_Training_12974019.jpg,anger,FER
data/processed\images\fer_train_angry_Training_13039915.jpg,anger,FER
data/processed\images\fer_train_angry_Training_13040296.jpg,anger,FER
data/processed\images\fer_train_angry_Training_13043913.jpg,anger,FER
data/processed\images\fer_train_angry_Training_13064272.jpg,anger,FER
data/processed\images\fer_train_angry_Training_13081843.jpg,anger,FER
data/processed\images\fer_train_angry_Training_13145953.jpg,anger,FER
data/processed\images\fer_train_angry_Training_13196511.jpg,anger,FER
data/processed\images\fer_train_angry_Training_13202061.jpg,anger,FER
data/processed\images\fer_train_angry_Training_13221971.jpg,anger,FER
data/processed\images\fer_train_angry_Training_13282534.jpg,anger,FER
data/processed\images\fer_train_angry_Training_1329550.jpg,anger,FER
data/processed\images\fer_train_angry_Training_13304793.jpg,anger,FER
data/processed\images\fer_train_angry_Training_13325591.jpg,anger,FER
data/processed\images\fer_train_angry_Training_13489272.jpg,anger,FER
data/processed\images\fer_train_angry_Training_13521344.jpg,anger,FER
data/processed\images\fer_train_angry_Training_13605605.jpg,anger,FER
data/processed\images\fer_train_angry_Training_13607820.jpg,anger,FER
data/processed\images\fer_train_angry_Training_13644751.jpg,anger,FER
data/processed\images\fer_train_angry_Training_13659242.jpg,anger,FER
data/processed\images\fer_train_angry_Training_13677471.jpg,anger,FER
data/processed\images\fer_train_angry_Training_13689420.jpg,anger,FER
data/processed\images\fer_train_angry_Training_13742442.jpg,anger,FER
data/processed\images\fer_train_angry_Training_13772540.jpg,anger,FER
data/processed\images\fer_train_angry_Training_13782684.jpg,anger,FER
data/processed\images\fer_train_angry_Training_13790669.jpg,anger,FER
data/processed\images\fer_train_angry_Training_13852029.jpg,anger,FER
data/processed\images\fer_train_angry_Training_13874420.jpg,anger,FER
data/processed\images\fer_train_angry_Training_13898081.jpg,anger,FER
data/processed\images\fer_train_angry_Training_13917123.jpg,anger,FER
data/processed\images\fer_train_angry_Training_13919685.jpg,anger,FER
data/processed\images\fer_train_angry_Training_13965818.jpg,anger,FER
data/processed\images\fer_train_angry_Training_13976691.jpg,anger,FER
data/processed\images\fer_train_angry_Training_13994952.jpg,anger,FER
data/processed\images\fer_train_angry_Training_13997003.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14051560.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14054767.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14056996.jpg,anger,FER
data/processed\images\fer_train_angry_Training_1409194.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14110796.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14118986.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14119944.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14151520.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14169607.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14215476.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14226893.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14227929.jpg,anger,FER
data/processed\images\fer_train_angry_Training_1424656.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14248179.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14248217.jpg,anger,FER
data/processed\images\fer_train_angry_Training_1426440.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14291798.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14296537.jpg,anger,FER
data/processed\images\fer_train_angry_Training_143373.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14340905.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14342315.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14383356.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14399797.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14417147.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14485990.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14503064.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14519925.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14525872.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14530363.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14532305.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14566179.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14570127.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14588902.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14619449.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14621559.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14636525.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14641612.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14690040.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14692406.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14713134.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14754797.jpg,anger,FER
data/processed\images\fer_train_angry_Training_1477608.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14776502.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14820944.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14823194.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14830141.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14848707.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14849067.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14869777.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14883276.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14909933.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14918881.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14954004.jpg,anger,FER
data/processed\images\fer_train_angry_Training_14976970.jpg,anger,FER
data/processed\images\fer_train_angry_Training_1500617.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15058314.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15081195.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15108206.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15127879.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15150679.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15197146.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15272626.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15311033.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15337964.jpg,anger,FER
data/processed\images\fer_train_angry_Training_1534315.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15343190.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15351749.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15361067.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15429801.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15433316.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15458095.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15462493.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15466417.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15469459.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15483013.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15484575.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15496677.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15498699.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15512449.jpg,anger,FER
data/processed\images\fer_train_angry_Training_1553426.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15570158.jpg,anger,FER
data/processed\images\fer_train_angry_Training_1559786.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15651444.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15653607.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15671299.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15693625.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15729526.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15752571.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15784307.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15794224.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15799535.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15812721.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15848209.jpg,anger,FER
data/processed\images\fer_train_angry_Training_1589886.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15933141.jpg,anger,FER
data/processed\images\fer_train_angry_Training_15990816.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16024594.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16052786.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16057513.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16084063.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16124846.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16148999.jpg,anger,FER
data/processed\images\fer_train_angry_Training_161824.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16211575.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16232328.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16259740.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16288109.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16288280.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16305966.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16322300.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16376025.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16385944.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16439151.jpg,anger,FER
data/processed\images\fer_train_angry_Training_1648016.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16492100.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16526420.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16527960.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16533492.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16538275.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16559108.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16567582.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16585392.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16591786.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16594897.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16615632.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16622790.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16636429.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16695193.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16728602.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16734586.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16765414.jpg,anger,FER
data/processed\images\fer_train_angry_Training_1677103.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16780637.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16813100.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16824041.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16828779.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16830053.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16844918.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16863168.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16882248.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16902014.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16968141.jpg,anger,FER
data/processed\images\fer_train_angry_Training_16971260.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17026096.jpg,anger,FER
data/processed\images\fer_train_angry_Training_1705134.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17067471.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17114283.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17188430.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17201713.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17207698.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17244297.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17258244.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17316378.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17363681.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17363830.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17385604.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17389803.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17399121.jpg,anger,FER
data/processed\images\fer_train_angry_Training_1741870.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17427197.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17428065.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17437121.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17448768.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17450738.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17510075.jpg,anger,FER
data/processed\images\fer_train_angry_Training_175233.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17526342.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17526951.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17561724.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17588102.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17600441.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17608684.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17664633.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17667401.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17682275.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17690552.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17702322.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17775115.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17796854.jpg,anger,FER
data/processed\images\fer_train_angry_Training_1779888.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17825044.jpg,anger,FER
data/processed\images\fer_train_angry_Training_178362.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17861397.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17869141.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17871246.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17871635.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17902383.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17907423.jpg,anger,FER
data/processed\images\fer_train_angry_Training_1791860.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17946627.jpg,anger,FER
data/processed\images\fer_train_angry_Training_17977606.jpg,anger,FER
data/processed\images\fer_train_angry_Training_1797833.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18012086.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18058034.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18096819.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18101749.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18152779.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18167782.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18174853.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18200194.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18219531.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18270369.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18384206.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18403526.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18424991.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18437561.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18460889.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18468344.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18473098.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18498178.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18529397.jpg,anger,FER
data/processed\images\fer_train_angry_Training_1854333.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18579411.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18615787.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18622081.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18633212.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18649259.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18679815.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18687003.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18688703.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18699711.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18714040.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18766042.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18769667.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18775545.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18793535.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18806679.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18818880.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18829072.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18833065.jpg,anger,FER
data/processed\images\fer_train_angry_Training_1886687.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18873605.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18888080.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18894040.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18926048.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18966100.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18972883.jpg,anger,FER
data/processed\images\fer_train_angry_Training_18995850.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19037832.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19060950.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19103814.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19104128.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19153111.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19214465.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19226789.jpg,anger,FER
data/processed\images\fer_train_angry_Training_1924056.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19259158.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19280895.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19282935.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19295001.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19316238.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19321092.jpg,anger,FER
data/processed\images\fer_train_angry_Training_1934096.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19345091.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19370670.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19401825.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19418971.jpg,anger,FER
data/processed\images\fer_train_angry_Training_1942570.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19426501.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19429243.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19436967.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19437515.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19503940.jpg,anger,FER
data/processed\images\fer_train_angry_Training_1951293.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19521391.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19565840.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19568389.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19573652.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19578975.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19595003.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19605770.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19633287.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19643622.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19662644.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19687209.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19726930.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19756127.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19760225.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19778378.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19843851.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19848415.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19855344.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19874064.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19879369.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19903870.jpg,anger,FER
data/processed\images\fer_train_angry_Training_19917862.jpg,anger,FER
