image_path,label,dataset_source
data/processed\images\fer_train_fear_Training_81325211.jpg,fear,FER
data/processed\images\raf_train_train_09026_aligned.jpg,happiness,RAF
data/processed\images\fer_train_happy_Training_3614480.jpg,happiness,FER
data/processed\images\raf_train_train_08179_aligned.jpg,happiness,RAF
data/processed\images\fer_train_surprise_Training_83288543.jpg,surprise,FER
data/processed\images\fer_train_happy_Training_11804569.jpg,happiness,FER
data/processed\images\fer_train_surprise_Training_91609012.jpg,surprise,FER
data/processed\images\fer_train_angry_Training_20940258.jpg,anger,FER
data/processed\images\fer_train_angry_Training_29671653.jpg,anger,FER
data/processed\images\fer_train_neutral_Training_35458868.jpg,neutral,FER
data/processed\images\fer_test_neutral_PublicTest_58713171.jpg,neutral,FER
data/processed\images\fer_train_surprise_Training_9839279.jpg,surprise,FER
data/processed\images\fer_train_fear_Training_26027821.jpg,fear,FER
data/processed\images\fer_train_surprise_Training_79035238.jpg,surprise,FER
data/processed\images\fer_train_fear_Training_4604222.jpg,fear,FER
data/processed\images\raf_train_train_09537_aligned.jpg,disgust,RAF
data/processed\images\raf_train_train_04548_aligned.jpg,sadness,RAF
data/processed\images\fer_train_angry_Training_71550663.jpg,anger,FER
data/processed\images\fer_train_sad_Training_12725910.jpg,sadness,FER
data/processed\images\fer_train_fear_Training_6817303.jpg,fear,FER
data/processed\images\fer_test_sad_PublicTest_97750311.jpg,sadness,FER
data/processed\images\raf_train_train_02667_aligned.jpg,happiness,RAF
data/processed\images\fer_train_happy_Training_86088144.jpg,happiness,FER
data/processed\images\fer_train_neutral_Training_22680644.jpg,neutral,FER
data/processed\images\fer_train_surprise_Training_8796795.jpg,surprise,FER
data/processed\images\raf_train_train_01416_aligned.jpg,sadness,RAF
data/processed\images\fer_train_surprise_Training_87457627.jpg,surprise,FER
data/processed\images\fer_train_happy_Training_17532890.jpg,happiness,FER
data/processed\images\fer_train_happy_Training_20208912.jpg,happiness,FER
data/processed\images\raf_train_train_01393_aligned.jpg,happiness,RAF
data/processed\images\fer_train_sad_Training_79776909.jpg,sadness,FER
data/processed\images\fer_train_sad_Training_60902269.jpg,sadness,FER
data/processed\images\raf_train_train_02705_aligned.jpg,happiness,RAF
data/processed\images\fer_train_sad_Training_53424562.jpg,sadness,FER
data/processed\images\fer_train_happy_Training_19295745.jpg,happiness,FER
data/processed\images\fer_train_happy_Training_88533215.jpg,happiness,FER
data/processed\images\raf_train_train_11461_aligned.jpg,neutral,RAF
data/processed\images\raf_train_train_10693_aligned.jpg,neutral,RAF
data/processed\images\fer_train_sad_Training_18572501.jpg,sadness,FER
data/processed\images\raf_train_train_08623_aligned.jpg,sadness,RAF
data/processed\images\raf_train_train_11121_aligned.jpg,neutral,RAF
data/processed\images\fer_train_fear_Training_36734653.jpg,fear,FER
data/processed\images\fer_train_angry_Training_23087152.jpg,anger,FER
data/processed\images\raf_train_train_07100_aligned.jpg,disgust,RAF
data/processed\images\fer_train_neutral_Training_70599754.jpg,neutral,FER
data/processed\images\ck_791.jpg,fear,CK+
data/processed\images\fer_train_angry_Training_69295022.jpg,anger,FER
data/processed\images\raf_train_train_05147_aligned.jpg,happiness,RAF
data/processed\images\fer_train_fear_Training_43230822.jpg,fear,FER
data/processed\images\fer_train_neutral_Training_17185800.jpg,neutral,FER
data/processed\images\raf_test_test_1384_aligned.jpg,happiness,RAF
data/processed\images\raf_train_train_06869_aligned.jpg,sadness,RAF
data/processed\images\fer_train_fear_Training_43842190.jpg,fear,FER
data/processed\images\fer_train_surprise_Training_21598338.jpg,surprise,FER
data/processed\images\fer_train_happy_Training_10265501.jpg,happiness,FER
data/processed\images\raf_train_train_05392_aligned.jpg,happiness,RAF
data/processed\images\fer_test_sad_PublicTest_26441514.jpg,sadness,FER
data/processed\images\fer_train_happy_Training_22796839.jpg,happiness,FER
data/processed\images\fer_train_fear_Training_58079877.jpg,fear,FER
data/processed\images\fer_train_happy_Training_3457216.jpg,happiness,FER
data/processed\images\fer_test_angry_PublicTest_84812303.jpg,anger,FER
data/processed\images\fer_train_sad_Training_43831209.jpg,sadness,FER
data/processed\images\raf_train_train_05166_aligned.jpg,happiness,RAF
data/processed\images\fer_test_happy_PrivateTest_5142883.jpg,happiness,FER
data/processed\images\fer_train_angry_Training_33635393.jpg,anger,FER
data/processed\images\fer_train_sad_Training_77374373.jpg,sadness,FER
data/processed\images\fer_train_sad_Training_6339943.jpg,sadness,FER
data/processed\images\fer_train_happy_Training_30956975.jpg,happiness,FER
data/processed\images\raf_test_test_2384_aligned.jpg,disgust,RAF
data/processed\images\fer_train_surprise_Training_98758885.jpg,surprise,FER
data/processed\images\fer_train_happy_Training_1529248.jpg,happiness,FER
data/processed\images\fer_train_fear_Training_22221322.jpg,fear,FER
data/processed\images\fer_train_sad_Training_21216571.jpg,sadness,FER
data/processed\images\raf_train_train_02977_aligned.jpg,happiness,RAF
data/processed\images\raf_train_train_10691_aligned.jpg,neutral,RAF
data/processed\images\fer_train_happy_Training_70286012.jpg,happiness,FER
data/processed\images\fer_train_sad_Training_79107437.jpg,sadness,FER
data/processed\images\fer_test_neutral_PrivateTest_76185285.jpg,neutral,FER
data/processed\images\fer_train_angry_Training_37858560.jpg,anger,FER
data/processed\images\raf_test_test_1065_aligned.jpg,sadness,RAF
data/processed\images\raf_train_train_00326_aligned.jpg,happiness,RAF
data/processed\images\fer_train_angry_Training_23296946.jpg,anger,FER
data/processed\images\fer_train_happy_Training_40390712.jpg,happiness,FER
data/processed\images\ck_12.jpg,sadness,CK+
data/processed\images\fer_train_happy_Training_14850617.jpg,happiness,FER
data/processed\images\raf_train_train_05667_aligned.jpg,happiness,RAF
data/processed\images\raf_test_test_3024_aligned.jpg,neutral,RAF
data/processed\images\fer_train_sad_Training_44130639.jpg,sadness,FER
data/processed\images\raf_train_train_05744_aligned.jpg,anger,RAF
data/processed\images\fer_train_surprise_Training_50899295.jpg,surprise,FER
data/processed\images\fer_train_sad_Training_55847949.jpg,sadness,FER
data/processed\images\raf_train_train_10393_aligned.jpg,neutral,RAF
data/processed\images\fer_train_neutral_Training_995545.jpg,neutral,FER
data/processed\images\fer_train_fear_Training_66726285.jpg,fear,FER
data/processed\images\fer_test_neutral_PublicTest_27662575.jpg,neutral,FER
data/processed\images\raf_test_test_2544_aligned.jpg,neutral,RAF
data/processed\images\fer_train_happy_Training_36519995.jpg,happiness,FER
data/processed\images\fer_test_neutral_PrivateTest_73298203.jpg,neutral,FER
data/processed\images\fer_train_angry_Training_92242514.jpg,anger,FER
data/processed\images\raf_test_test_2930_aligned.jpg,neutral,RAF
data/processed\images\fer_train_neutral_Training_88917825.jpg,neutral,FER
data/processed\images\fer_train_fear_Training_95161986.jpg,fear,FER
data/processed\images\fer_train_angry_Training_97643807.jpg,anger,FER
data/processed\images\fer_train_happy_Training_70187703.jpg,happiness,FER
data/processed\images\fer_train_happy_Training_99796241.jpg,happiness,FER
data/processed\images\raf_train_train_01823_aligned.jpg,disgust,RAF
data/processed\images\fer_test_fear_PrivateTest_2159049.jpg,fear,FER
data/processed\images\raf_test_test_0545_aligned.jpg,happiness,RAF
data/processed\images\fer_train_angry_Training_18679815.jpg,anger,FER
data/processed\images\raf_train_train_01135_aligned.jpg,sadness,RAF
data/processed\images\fer_train_fear_Training_26056742.jpg,fear,FER
data/processed\images\fer_train_surprise_Training_5760201.jpg,surprise,FER
data/processed\images\raf_test_test_2438_aligned.jpg,neutral,RAF
data/processed\images\fer_train_happy_Training_90509145.jpg,happiness,FER
data/processed\images\fer_train_disgust_Training_56843771.jpg,disgust,FER
data/processed\images\fer_train_happy_Training_29565468.jpg,happiness,FER
data/processed\images\raf_train_train_09358_aligned.jpg,fear,RAF
data/processed\images\fer_train_surprise_Training_60627076.jpg,surprise,FER
data/processed\images\fer_train_surprise_Training_1062767.jpg,surprise,FER
data/processed\images\fer_train_happy_Training_36442002.jpg,happiness,FER
data/processed\images\raf_train_train_02434_aligned.jpg,happiness,RAF
data/processed\images\raf_train_train_04265_aligned.jpg,disgust,RAF
data/processed\images\raf_train_train_02321_aligned.jpg,happiness,RAF
data/processed\images\fer_train_happy_Training_70341096.jpg,happiness,FER
data/processed\images\fer_test_happy_PrivateTest_74390464.jpg,happiness,FER
data/processed\images\raf_train_train_01314_aligned.jpg,anger,RAF
data/processed\images\fer_train_sad_Training_3800733.jpg,sadness,FER
data/processed\images\fer_train_sad_Training_13658077.jpg,sadness,FER
data/processed\images\fer_train_sad_Training_29558509.jpg,sadness,FER
data/processed\images\raf_train_train_06614_aligned.jpg,happiness,RAF
data/processed\images\raf_train_train_09556_aligned.jpg,disgust,RAF
data/processed\images\raf_test_test_0081_aligned.jpg,disgust,RAF
data/processed\images\fer_train_fear_Training_11927588.jpg,fear,FER
data/processed\images\fer_train_angry_Training_32473963.jpg,anger,FER
data/processed\images\raf_train_train_07264_aligned.jpg,happiness,RAF
data/processed\images\fer_test_neutral_PublicTest_2729310.jpg,neutral,FER
data/processed\images\fer_train_happy_Training_98328383.jpg,happiness,FER
data/processed\images\raf_train_train_04746_aligned.jpg,surprise,RAF
data/processed\images\fer_train_fear_Training_65366152.jpg,fear,FER
data/processed\images\raf_test_test_2650_aligned.jpg,neutral,RAF
data/processed\images\fer_train_neutral_Training_99139714.jpg,neutral,FER
data/processed\images\raf_test_test_2629_aligned.jpg,neutral,RAF
data/processed\images\raf_train_train_12171_aligned.jpg,neutral,RAF
data/processed\images\raf_test_test_1389_aligned.jpg,disgust,RAF
data/processed\images\fer_train_fear_Training_64733718.jpg,fear,FER
data/processed\images\fer_train_angry_Training_12091917.jpg,anger,FER
data/processed\images\raf_test_test_2186_aligned.jpg,happiness,RAF
data/processed\images\raf_train_train_01555_aligned.jpg,happiness,RAF
data/processed\images\fer_train_fear_Training_47791026.jpg,fear,FER
data/processed\images\raf_train_train_02582_aligned.jpg,happiness,RAF
data/processed\images\fer_train_sad_Training_1201574.jpg,sadness,FER
data/processed\images\fer_train_neutral_Training_14259954.jpg,neutral,FER
data/processed\images\fer_train_neutral_Training_99840794.jpg,neutral,FER
data/processed\images\fer_train_sad_Training_68202501.jpg,sadness,FER
data/processed\images\fer_train_neutral_Training_41881008.jpg,neutral,FER
data/processed\images\ck_59.jpg,sadness,CK+
data/processed\images\raf_train_train_04739_aligned.jpg,happiness,RAF
data/processed\images\raf_train_train_12119_aligned.jpg,neutral,RAF
data/processed\images\fer_train_happy_Training_46737305.jpg,happiness,FER
data/processed\images\fer_train_happy_Training_30554298.jpg,happiness,FER
data/processed\images\raf_train_train_10447_aligned.jpg,neutral,RAF
data/processed\images\raf_test_test_2842_aligned.jpg,neutral,RAF
data/processed\images\raf_train_train_03686_aligned.jpg,sadness,RAF
data/processed\images\fer_train_surprise_Training_39238392.jpg,surprise,FER
data/processed\images\raf_train_train_07292_aligned.jpg,anger,RAF
data/processed\images\fer_train_happy_Training_32816442.jpg,happiness,FER
data/processed\images\fer_train_surprise_Training_68618109.jpg,surprise,FER
data/processed\images\fer_train_happy_Training_72834462.jpg,happiness,FER
data/processed\images\raf_test_test_0925_aligned.jpg,sadness,RAF
data/processed\images\fer_train_sad_Training_6273119.jpg,sadness,FER
data/processed\images\fer_train_surprise_Training_76551437.jpg,surprise,FER
data/processed\images\fer_train_happy_Training_1866804.jpg,happiness,FER
data/processed\images\fer_train_fear_Training_29532565.jpg,fear,FER
data/processed\images\fer_train_happy_Training_61969917.jpg,happiness,FER
data/processed\images\fer_train_happy_Training_58891570.jpg,happiness,FER
data/processed\images\fer_train_happy_Training_45264557.jpg,happiness,FER
data/processed\images\raf_train_train_09277_aligned.jpg,fear,RAF
data/processed\images\fer_train_surprise_Training_95699837.jpg,surprise,FER
data/processed\images\raf_test_test_0791_aligned.jpg,happiness,RAF
data/processed\images\raf_train_train_03731_aligned.jpg,sadness,RAF
data/processed\images\raf_train_train_01838_aligned.jpg,surprise,RAF
data/processed\images\fer_train_neutral_Training_84174787.jpg,neutral,FER
data/processed\images\raf_train_train_02467_aligned.jpg,sadness,RAF
data/processed\images\raf_train_train_11793_aligned.jpg,neutral,RAF
data/processed\images\raf_train_train_08810_aligned.jpg,sadness,RAF
data/processed\images\raf_train_train_11051_aligned.jpg,neutral,RAF
data/processed\images\fer_train_surprise_Training_63711146.jpg,surprise,FER
data/processed\images\fer_train_angry_Training_84116596.jpg,anger,FER
data/processed\images\fer_test_angry_PrivateTest_71295423.jpg,anger,FER
data/processed\images\raf_train_train_08750_aligned.jpg,anger,RAF
data/processed\images\raf_test_test_2451_aligned.jpg,neutral,RAF
data/processed\images\fer_test_neutral_PrivateTest_38800045.jpg,neutral,FER
data/processed\images\fer_train_fear_Training_29017000.jpg,fear,FER
data/processed\images\fer_train_neutral_Training_49917950.jpg,neutral,FER
data/processed\images\fer_train_neutral_Training_949081.jpg,neutral,FER
data/processed\images\fer_train_fear_Training_89882062.jpg,fear,FER
data/processed\images\fer_train_angry_Training_81857252.jpg,anger,FER
data/processed\images\fer_test_happy_PrivateTest_6100434.jpg,happiness,FER
data/processed\images\fer_train_sad_Training_15909687.jpg,sadness,FER
data/processed\images\fer_train_happy_Training_44647057.jpg,happiness,FER
data/processed\images\ck_108.jpg,sadness,CK+
data/processed\images\raf_train_train_04062_aligned.jpg,surprise,RAF
data/processed\images\fer_train_angry_Training_21398238.jpg,anger,FER
data/processed\images\fer_train_happy_Training_12291091.jpg,happiness,FER
data/processed\images\raf_train_train_00013_aligned.jpg,surprise,RAF
data/processed\images\fer_train_happy_Training_6885740.jpg,happiness,FER
data/processed\images\raf_train_train_08549_aligned.jpg,surprise,RAF
data/processed\images\fer_train_happy_Training_5738989.jpg,happiness,FER
data/processed\images\fer_test_surprise_PublicTest_10780425.jpg,surprise,FER
data/processed\images\fer_train_sad_Training_696816.jpg,sadness,FER
data/processed\images\fer_train_angry_Training_48327841.jpg,anger,FER
data/processed\images\fer_train_angry_Training_74755120.jpg,anger,FER
data/processed\images\fer_train_neutral_Training_67475621.jpg,neutral,FER
data/processed\images\fer_train_neutral_Training_28707155.jpg,neutral,FER
data/processed\images\fer_train_angry_Training_98585739.jpg,anger,FER
data/processed\images\raf_train_train_02141_aligned.jpg,happiness,RAF
data/processed\images\fer_test_neutral_PrivateTest_28723665.jpg,neutral,FER
data/processed\images\fer_train_surprise_Training_82695982.jpg,surprise,FER
data/processed\images\fer_test_neutral_PrivateTest_15353271.jpg,neutral,FER
data/processed\images\fer_train_neutral_Training_77555432.jpg,neutral,FER
data/processed\images\fer_train_neutral_Training_37936845.jpg,neutral,FER
data/processed\images\fer_train_angry_Training_20030076.jpg,anger,FER
data/processed\images\fer_train_angry_Training_97239000.jpg,anger,FER
data/processed\images\fer_train_happy_Training_88534997.jpg,happiness,FER
data/processed\images\fer_test_sad_PrivateTest_19012494.jpg,sadness,FER
data/processed\images\fer_train_surprise_Training_2928428.jpg,surprise,FER
data/processed\images\ck_420.jpg,sadness,CK+
data/processed\images\fer_train_surprise_Training_12940037.jpg,surprise,FER
data/processed\images\fer_train_fear_Training_10510421.jpg,fear,FER
data/processed\images\fer_train_happy_Training_93055343.jpg,happiness,FER
data/processed\images\fer_test_angry_PublicTest_33049665.jpg,anger,FER
data/processed\images\fer_train_neutral_Training_85524967.jpg,neutral,FER
data/processed\images\fer_train_angry_Training_17861397.jpg,anger,FER
data/processed\images\raf_test_test_0640_aligned.jpg,disgust,RAF
data/processed\images\fer_train_surprise_Training_84734383.jpg,surprise,FER
data/processed\images\raf_train_train_10692_aligned.jpg,neutral,RAF
data/processed\images\fer_train_fear_Training_88756840.jpg,fear,FER
data/processed\images\raf_train_train_03237_aligned.jpg,surprise,RAF
data/processed\images\raf_train_train_09418_aligned.jpg,disgust,RAF
data/processed\images\fer_train_fear_Training_98946913.jpg,fear,FER
data/processed\images\fer_train_neutral_Training_28893195.jpg,neutral,FER
data/processed\images\fer_train_fear_Training_42198912.jpg,fear,FER
data/processed\images\raf_train_train_05317_aligned.jpg,happiness,RAF
data/processed\images\fer_test_sad_PrivateTest_51035800.jpg,sadness,FER
data/processed\images\raf_test_test_1879_aligned.jpg,anger,RAF
data/processed\images\fer_train_surprise_Training_68730211.jpg,surprise,FER
data/processed\images\fer_train_happy_Training_34396818.jpg,happiness,FER
data/processed\images\raf_train_train_02316_aligned.jpg,happiness,RAF
data/processed\images\fer_test_happy_PrivateTest_55512604.jpg,happiness,FER
data/processed\images\fer_train_surprise_Training_39191303.jpg,surprise,FER
data/processed\images\raf_train_train_03344_aligned.jpg,happiness,RAF
data/processed\images\fer_train_happy_Training_92502030.jpg,happiness,FER
data/processed\images\fer_test_happy_PrivateTest_94862738.jpg,happiness,FER
data/processed\images\fer_train_fear_Training_43723969.jpg,fear,FER
data/processed\images\fer_test_sad_PrivateTest_1942677.jpg,sadness,FER
data/processed\images\fer_train_sad_Training_41140320.jpg,sadness,FER
data/processed\images\raf_train_train_11015_aligned.jpg,neutral,RAF
data/processed\images\fer_train_fear_Training_8093311.jpg,fear,FER
data/processed\images\fer_train_happy_Training_59821888.jpg,happiness,FER
data/processed\images\fer_train_happy_Training_83473550.jpg,happiness,FER
data/processed\images\fer_train_neutral_Training_12849502.jpg,neutral,FER
data/processed\images\raf_train_train_10502_aligned.jpg,neutral,RAF
data/processed\images\raf_train_train_01778_aligned.jpg,happiness,RAF
data/processed\images\fer_train_happy_Training_12095943.jpg,happiness,FER
data/processed\images\raf_train_train_03481_aligned.jpg,happiness,RAF
data/processed\images\raf_train_train_10526_aligned.jpg,neutral,RAF
data/processed\images\fer_test_neutral_PublicTest_74968210.jpg,neutral,FER
data/processed\images\fer_test_sad_PublicTest_62618483.jpg,sadness,FER
data/processed\images\fer_train_angry_Training_32264070.jpg,anger,FER
data/processed\images\raf_train_train_07169_aligned.jpg,surprise,RAF
data/processed\images\raf_train_train_00943_aligned.jpg,happiness,RAF
data/processed\images\raf_train_train_11770_aligned.jpg,neutral,RAF
data/processed\images\fer_test_happy_PublicTest_54714677.jpg,happiness,FER
data/processed\images\raf_train_train_10143_aligned.jpg,neutral,RAF
data/processed\images\raf_test_test_2630_aligned.jpg,neutral,RAF
data/processed\images\raf_train_train_09217_aligned.jpg,fear,RAF
data/processed\images\fer_train_fear_Training_99874738.jpg,fear,FER
data/processed\images\fer_train_sad_Training_62002767.jpg,sadness,FER
data/processed\images\fer_train_neutral_Training_31793182.jpg,neutral,FER
data/processed\images\ck_66.jpg,sadness,CK+
data/processed\images\fer_train_fear_Training_65873848.jpg,fear,FER
data/processed\images\fer_train_fear_Training_99215884.jpg,fear,FER
data/processed\images\raf_train_train_08245_aligned.jpg,sadness,RAF
data/processed\images\fer_train_neutral_Training_93848979.jpg,neutral,FER
data/processed\images\raf_train_train_02020_aligned.jpg,happiness,RAF
data/processed\images\raf_train_train_10388_aligned.jpg,neutral,RAF
data/processed\images\raf_train_train_01386_aligned.jpg,sadness,RAF
data/processed\images\raf_train_train_07997_aligned.jpg,anger,RAF
data/processed\images\fer_train_happy_Training_38440600.jpg,happiness,FER
data/processed\images\raf_train_train_07716_aligned.jpg,happiness,RAF
data/processed\images\fer_train_fear_Training_75385928.jpg,fear,FER
data/processed\images\raf_train_train_02528_aligned.jpg,happiness,RAF
data/processed\images\fer_train_neutral_Training_222237.jpg,neutral,FER
data/processed\images\raf_test_test_0019_aligned.jpg,happiness,RAF
data/processed\images\fer_train_neutral_Training_99010157.jpg,neutral,FER
